Category,City,Country,Customer ID,Customer Name,Discount,Market,ji_lu-shu,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Year,Market2,weeknum
Office Supplies,Los Angeles,United States,LS-172304,Lycoris Saunders,0.0,US,1.0,00:00.0,CA-2011-130813,High,OFF-PA-10002005,Xerox 225,9.3312,3.0,West,36624.0,19.0,Consumer,00:00.0,Second Class,4.37,California,Paper,2011.0,North America,2.0
Office Supplies,Los Angeles,United States,MV-174854,Mark Van Huff,0.0,US,1.0,00:00.0,CA-2011-148614,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2.0,West,37033.0,19.0,Consumer,00:00.0,Standard Class,0.94,California,Paper,2011.0,North America,4.0
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,US,1.0,00:00.0,CA-2011-118962,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â x 11â",9.8418,3.0,West,31468.0,21.0,Consumer,00:00.0,Standard Class,1.81,California,Paper,2011.0,North America,32.0
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0.0,US,1.0,00:00.0,CA-2011-118962,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2.0,West,31469.0,111.0,Consumer,00:00.0,Standard Class,4.59,California,Paper,2011.0,North America,32.0
Office Supplies,Los Angeles,United States,AP-109154,Arthur Prichep,0.0,US,1.0,00:00.0,CA-2011-146969,High,OFF-PA-10002105,Xerox 223,3.1104,1.0,West,32440.0,6.0,Consumer,00:00.0,Standard Class,1.32,California,Paper,2011.0,North America,40.0
Office Supplies,Los Angeles,United States,JF-154904,Jeremy Farry,0.0,US,1.0,00:00.0,CA-2011-117317,Critical,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,6.5856,3.0,West,32890.0,13.0,Consumer,00:00.0,Same Day,2.39,California,Paper,2011.0,North America,43.0
Office Supplies,Los Angeles,United States,WB-218504,William Brown,0.0,US,1.0,00:00.0,CA-2011-125829,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3.0,West,35608.0,19.0,Consumer,00:00.0,Standard Class,1.15,California,Paper,2011.0,North America,45.0
Office Supplies,Los Angeles,United States,JA-159704,Joseph Airdo,0.0,US,1.0,00:00.0,CA-2011-151295,High,OFF-PA-10001947,Xerox 1974,5.8604,2.0,West,33709.0,12.0,Consumer,00:00.0,Standard Class,0.92,California,Paper,2011.0,North America,46.0
Office Supplies,Los Angeles,United States,SP-209204,Susan Pistek,0.0,US,1.0,00:00.0,CA-2011-135090,High,OFF-PA-10002245,Xerox 1895,24.219,9.0,West,35267.0,54.0,Consumer,00:00.0,Standard Class,6.98,California,Paper,2011.0,North America,48.0
Office Supplies,Los Angeles,United States,RL-196154,Rob Lucas,0.0,US,1.0,00:00.0,CA-2011-133830,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4.0,West,38866.0,49.0,Consumer,00:00.0,Standard Class,1.99,California,Paper,2011.0,North America,50.0
